month,site,site_category,visitor_type,visitor_origin,visitors
2023-08,Aali burial mounds,Archaeological Sites,Individual,Arab,6
2023-08,Aali burial mounds,Archaeological Sites,Individual,Bahraini,10
2023-08,Aali burial mounds,Archaeological Sites,Individual,Foreign,19
2023-08,Aali burial mounds,Archaeological Sites,Individual,GCC,7
2023-08,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,Foreign,3
2023-08,Al Jasra House,Uncategorised,Individual,Bahraini,15
2023-08,Al Jasra House,Uncategorised,Individual,Foreign,37
2023-08,Al Khalefeyah Library,Uncategorised,Individual,Arab,11
2023-08,Al Khalefeyah Library,Uncategorised,Individual,Bahraini,35
2023-08,Al Khalefeyah Library,Uncategorised,Individual,Foreign,115
2023-08,Al Khalefeyah Library,Uncategorised,Individual,GCC,11
2023-08,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Educational,College or University,9
2023-08,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Bahraini,17
2023-08,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Foreign,32
2023-08,Arad Fort,Archaeological Sites,Individual,Arab,10
2023-08,Arad Fort,Archaeological Sites,Individual,Bahraini,32
2023-08,Arad Fort,Archaeological Sites,Individual,Foreign,82
2023-08,Arad Fort,Forts,Individual,Arab,10
2023-08,Arad Fort,Forts,Individual,Bahraini,32
2023-08,Arad Fort,Forts,Individual,Foreign,82
2023-08,Archaeologies of Green Pavilion,Uncategorised,Educational,College or University,11
2023-08,Archaeologies of Green Pavilion,Uncategorised,Educational,Government School,2
2023-08,Archaeologies of Green Pavilion,Uncategorised,Educational,Private School,2
2023-08,Archaeologies of Green Pavilion,Uncategorised,Groups,VIP,11
2023-08,Archaeologies of Green Pavilion,Uncategorised,Individual,Arab,10
2023-08,Archaeologies of Green Pavilion,Uncategorised,Individual,Bahraini,31
2023-08,Archaeologies of Green Pavilion,Uncategorised,Individual,Foreign,12
2023-08,Archaeologies of Green Pavilion,Uncategorised,Individual,GCC,7
2023-08,Art Center,Uncategorised,Groups,VIP,7
2023-08,Art Center,Uncategorised,Individual,Bahraini,8
2023-08,Art Center,Uncategorised,Individual,Foreign,7
2023-08,Bahrain Fort Site,Archaeological Sites,Groups,Organized Group,77
2023-08,Bahrain Fort Site,Archaeological Sites,Groups,Tour Agencies,4
2023-08,Bahrain Fort Site,Archaeological Sites,Individual,Arab,324
2023-08,Bahrain Fort Site,Archaeological Sites,Individual,Bahraini,550
2023-08,Bahrain Fort Site,Archaeological Sites,Individual,Foreign,2402
2023-08,Bahrain Fort Site,Archaeological Sites,Individual,GCC,363
2023-08,Bahrain Fort Site,Forts,Groups,Organized Group,77
2023-08,Bahrain Fort Site,Forts,Groups,Tour Agencies,4
2023-08,Bahrain Fort Site,Forts,Individual,Arab,324
2023-08,Bahrain Fort Site,Forts,Individual,Bahraini,550
2023-08,Bahrain Fort Site,Forts,Individual,Foreign,2402
2023-08,Bahrain Fort Site,Forts,Individual,GCC,363
2023-08,Bahrain National Museum,Museums,Educational,Institutes,146
2023-08,Bahrain National Museum,Museums,Educational,Private School,140
2023-08,Bahrain National Museum,Museums,Groups,Organized Group,124
2023-08,Bahrain National Museum,Museums,Groups,VIP,16
2023-08,Bahrain National Museum,Museums,Individual,Arab,750
2023-08,Bahrain National Museum,Museums,Individual,Bahraini,610
2023-08,Bahrain National Museum,Museums,Individual,Foreign,1889
2023-08,Bahrain National Museum,Museums,Individual,GCC,1253
2023-08,Bahrain National Theatre,Uncategorised,Individual,Bahraini,1
2023-08,Bani Jamra Textile Weaving,Handicraft Sites,Groups,Organized Group,2
2023-08,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Bahraini,40
2023-08,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Foreign,23
2023-08,Barbar Temples,Archaeological Sites,Educational,College or University,2
2023-08,Barbar Temples,Archaeological Sites,Educational,Government School,6
2023-08,Barbar Temples,Archaeological Sites,Groups,Organized Group,7
2023-08,Barbar Temples,Archaeological Sites,Individual,Bahraini,11
2023-08,Barbar Temples,Archaeological Sites,Individual,Foreign,10
2023-08,Barbar Temples,Archaeological Sites,Individual,GCC,2
2023-08,Bu Maher,Archaeological Sites,Groups,Organized Group,47
2023-08,Bu Maher,Archaeological Sites,Groups,Tour Agencies,308
2023-08,Bu Maher,Archaeological Sites,Individual,Arab,49
2023-08,Bu Maher,Archaeological Sites,Individual,Bahraini,45
2023-08,Bu Maher,Archaeological Sites,Individual,Foreign,484
2023-08,Bu Maher,Archaeological Sites,Individual,GCC,161
2023-08,Bu Maher,Forts,Groups,Organized Group,47
2023-08,Bu Maher,Forts,Groups,Tour Agencies,308
2023-08,Bu Maher,Forts,Individual,Arab,49
2023-08,Bu Maher,Forts,Individual,Bahraini,45
2023-08,Bu Maher,Forts,Individual,Foreign,484
2023-08,Bu Maher,Forts,Individual,GCC,161
2023-08,Bu Maher,Pearling Path Sites,Groups,Organized Group,47
2023-08,Bu Maher,Pearling Path Sites,Groups,Tour Agencies,308
2023-08,Bu Maher,Pearling Path Sites,Individual,Arab,49
2023-08,Bu Maher,Pearling Path Sites,Individual,Bahraini,45
2023-08,Bu Maher,Pearling Path Sites,Individual,Foreign,484
2023-08,Bu Maher,Pearling Path Sites,Individual,GCC,161
2023-08,Cultural Hall,Uncategorised,Groups,Organized Group,126
2023-08,Dar Al Muharraq,Pearling Path Sites,Individual,Foreign,42
2023-08,House of Baskets,Handicraft Sites,Groups,Organized Group,10
2023-08,House of Baskets,Handicraft Sites,Individual,Bahraini,34
2023-08,House of Baskets,Handicraft Sites,Individual,Foreign,5
2023-08,House of Baskets,Handicraft Sites,Individual,GCC,4
2023-08,Pearling Path Visitor Center,Pearling Path Sites,Groups,Tour Agencies,48
2023-08,Pearling Path Visitor Center,Pearling Path Sites,Groups,VIP,9
2023-08,Pearling Path Visitor Center,Pearling Path Sites,Individual,Arab,2
2023-08,Pearling Path Visitor Center,Pearling Path Sites,Individual,Bahraini,131
2023-08,Pearling Path Visitor Center,Pearling Path Sites,Individual,Foreign,301
2023-08,Post Office Museum,Museums,Individual,Bahraini,1
2023-08,Post Office Museum,Museums,Individual,Foreign,1
2023-08,Qalat Al Bahrain Site Museum,Museums,Educational,Private School,12
2023-08,Qalat Al Bahrain Site Museum,Museums,Groups,Organized Group,53
2023-08,Qalat Al Bahrain Site Museum,Museums,Groups,VIP,1
2023-08,Qalat Al Bahrain Site Museum,Museums,Individual,Arab,2
2023-08,Qalat Al Bahrain Site Museum,Museums,Individual,Bahraini,80
2023-08,Qalat Al Bahrain Site Museum,Museums,Individual,Foreign,163
2023-08,Qalat Al Bahrain Site Museum,Museums,Individual,GCC,10
2023-08,Saar Settlement,Archaeological Sites,Individual,Arab,1
2023-08,Saar Settlement,Archaeological Sites,Individual,Bahraini,7
2023-08,Saar Settlement,Archaeological Sites,Individual,Foreign,20
2023-08,Sheikh Salman Bin Ahmed Al Fateh Fort,Forts,Individual,Arab,31
2023-08,Sheikh Salman Bin Ahmed Al Fateh Fort,Forts,Individual,Bahraini,54
2023-08,Sheikh Salman Bin Ahmed Al Fateh Fort,Forts,Individual,Foreign,353
2023-08,Tree of Life Visitors Centre,Uncategorised,Groups,Organized Group,4
2023-08,Tree of Life Visitors Centre,Uncategorised,Individual,Bahraini,10
2023-08,Tree of Life Visitors Centre,Uncategorised,Individual,Foreign,1005
2023-08,Tree of Life Visitors Centre,Uncategorised,Individual,GCC,1
2023-09,Aali burial mounds,Archaeological Sites,Individual,Arab,5
2023-09,Aali burial mounds,Archaeological Sites,Individual,Bahraini,6
2023-09,Aali burial mounds,Archaeological Sites,Individual,Foreign,32
2023-09,Aali burial mounds,Archaeological Sites,Individual,GCC,4
2023-09,Al Jasra House,Uncategorised,Individual,Bahraini,25
2023-09,Al Jasra House,Uncategorised,Individual,Foreign,43
2023-09,Al Khalefeyah Library,Uncategorised,Individual,Arab,70
2023-09,Al Khalefeyah Library,Uncategorised,Individual,Bahraini,23
2023-09,Al Khalefeyah Library,Uncategorised,Individual,Foreign,81
2023-09,Al Khalefeyah Library,Uncategorised,Individual,GCC,1
2023-09,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Educational,College or University,3
2023-09,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Arab,1
2023-09,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Bahraini,18
2023-09,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Foreign,33
2023-09,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,GCC,2
2023-09,Archaeologies of Green Pavilion,Uncategorised,Educational,Kinder Garden,3
2023-09,Archaeologies of Green Pavilion,Uncategorised,Educational,Private School,5
2023-09,Archaeologies of Green Pavilion,Uncategorised,Groups,VIP,9
2023-09,Archaeologies of Green Pavilion,Uncategorised,Individual,Arab,7
2023-09,Archaeologies of Green Pavilion,Uncategorised,Individual,Bahraini,24
2023-09,Archaeologies of Green Pavilion,Uncategorised,Individual,GCC,21
2023-09,Art Center,Uncategorised,Individual,Bahraini,430
2023-09,Art Center,Uncategorised,Individual,Foreign,3
2023-09,Bahrain Fort Site,Archaeological Sites,Groups,Organized Group,706
2023-09,Bahrain Fort Site,Archaeological Sites,Groups,Tour Agencies,1573
2023-09,Bahrain Fort Site,Archaeological Sites,Groups,VIP,12
2023-09,Bahrain Fort Site,Archaeological Sites,Individual,Arab,1404
2023-09,Bahrain Fort Site,Archaeological Sites,Individual,Bahraini,2277
2023-09,Bahrain Fort Site,Archaeological Sites,Individual,Foreign,6430
2023-09,Bahrain Fort Site,Archaeological Sites,Individual,GCC,1852
2023-09,Bahrain Fort Site,Forts,Groups,Organized Group,706
2023-09,Bahrain Fort Site,Forts,Groups,Tour Agencies,1573
2023-09,Bahrain Fort Site,Forts,Groups,VIP,12
2023-09,Bahrain Fort Site,Forts,Individual,Arab,1404
2023-09,Bahrain Fort Site,Forts,Individual,Bahraini,2277
2023-09,Bahrain Fort Site,Forts,Individual,Foreign,6430
2023-09,Bahrain Fort Site,Forts,Individual,GCC,1852
2023-09,Bahrain National Museum,Museums,Educational,College or University,66
